Learning Standard,Category,Sub-Category,State Standard,,,
R.K-5.1,K-5 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,,,
R.K-5.10,K-5 College and Career Readiness Anchor Standards for Reading,Range of Reading and Level of Text Complexity,Read and comprehend complex literary and informational texts independently and proficiently.,,,
R.K-5.11,K-5 College and Career Readiness Anchor Standards for Reading,Responding to Literature,"Respond to literature by employing knowledge of literary language, textual features, and forms to read and comprehend, reflect upon, and interpret literary texts from a variety of genres and a wide spectrum of American and world cultures.",,,
R.K-5.2,K-5 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,,,
R.K-5.3,K-5 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",,,
R.K-5.4,K-5 College and Career Readiness Anchor Standards for Reading,Craft and Structure,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",,,
R.K-5.5,K-5 College and Career Readiness Anchor Standards for Reading,Craft and Structure,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",,,
R.K-5.6,K-5 College and Career Readiness Anchor Standards for Reading,Craft and Structure,Assess how point of view or purpose shapes the content and style of a text.,,,
R.K-5.7,K-5 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.* *Please see “Research to Build and Present Knowledge” in Writing and “Comprehension and Collaboration” in Speaking and Listening for additional standards relevant to gathering, assessing, and applying information from print and digital sources.",,,
R.K-5.8,K-5 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",,,
R.K-5.9,K-5 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,,,
R.6-12.1,6-12 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,,,
R.6-12.10,6-12 College and Career Readiness Anchor Standards for Reading,Range of Reading and Level of Text Complexity,Read and comprehend complex literary and informational texts independently and proficiently.,,,
R.6-12.11,6-12 College and Career Readiness Anchor Standards for Reading,Responding to Literature,"Respond to literature by employing knowledge of literary language, textual features, and forms to read and comprehend, reflect upon, and interpret literary texts from a variety of genres and a wide spectrum of American and world cultures.",,,
R.6-12.2,6-12 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,,,
R.6-12.3,6-12 College and Career Readiness Anchor Standards for Reading,Key Ideas and Details,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",,,
R.6-12.4,6-12 College and Career Readiness Anchor Standards for Reading,Craft and Structure,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",,,
R.6-12.5,6-12 College and Career Readiness Anchor Standards for Reading,Craft and Structure,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",,,
R.6-12.6,6-12 College and Career Readiness Anchor Standards for Reading,Craft and Structure,Assess how point of view or purpose shapes the content and style of a text.,,,
R.6-12.7,6-12 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,"Integrate and evaluate content presented in diverse formats and media, including visually and quantitatively, as well as in words.* *Please see “Research to Build Knowledge” in Writing and “Comprehension and Collaboration” in Speaking and Listening for additional standards relevant to gathering, assessing, and applying information from print and digital sources.",,,
R.6-12.8,6-12 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",,,
R.6-12.9,6-12 College and Career Readiness Anchor Standards for Reading,Integration of Knowledge and Ideas,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,,,
W.K-5.1,K-5 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",,,
